id,state,regional_unemployment_rate,regional_median_income,regional_median_rent,housing_price_index,cost_of_living_index,previous_zip_code
48078,NY,5.0,72000,1750.0,147.0,107.0,119
48079,TN,3.9,53000,1170.0,94.0,84.0,780
48080,GA,4.4,58000,1320.0,104.0,84.0,288
48081,IL,5.2,65000,1540.0,105.0,80.0,727
48082,MO,4.2,55000,1500.0,89.0,78.0,544
48083,NJ,4.7,82000,1830.0,136.0,115.0,381
48084,VA,3.7,74000,1720.0,124.0,106.0,408
48085,MI,5.1,57000,1430.0,89.0,69.0,480
48086,VA,3.7,74000,1700.0,118.0,105.0,483
48087,NY,4.0,72000,1910.0,144.0,119.0,316
48088,NC,4.5,54000,1210.0,107.0,83.0,388
48089,VA,3.3,74000,1570.0,125.0,101.0,412
48090,OH,4.6,56000,1530.0,88.0,74.0,572
48091,AZ,4.4,58000,1350.0,110.0,87.0,200
48092,CA,5.6,75000,1500.0,159.0,116.0,137
48093,NC,4.8,54000,1430.0,110.0,84.0,981
48094,VA,4.3,74000,1610.0,126.0,104.0,743
48095,MO,4.2,55000,1270.0,97.0,84.0,247
48096,NC,4.2,54000,1470.0,115.0,85.0,315
48097,NC,4.7,54000,1200.0,115.0,85.0,620
48098,AZ,4.4,58000,1410.0,117.0,93.0,289
48099,GA,3.2,58000,1500.0,103.0,80.0,137
48100,CA,5.7,75000,1510.0,171.0,136.0,300
48101,TX,4.5,61000,1510.0,110.0,95.0,283
48102,VA,3.6,74000,1830.0,126.0,112.0,771
48103,AZ,4.8,58000,1530.0,114.0,82.0,859
48104,MO,4.4,55000,1210.0,87.0,78.0,190
48105,FL,5.2,55000,1260.0,114.0,94.0,372
48106,FL,4.3,55000,1190.0,112.0,79.0,630
48107,FL,5.5,55000,1560.0,119.0,90.0,905
48108,WI,4.3,60000,1360.0,92.0,87.0,834
48109,PA,5.0,61000,1610.0,96.0,85.0,747
48110,TX,4.4,61000,1550.0,113.0,88.0,879
48111,VA,4.0,74000,1800.0,120.0,99.0,804
48112,NY,5.2,72000,1710.0,135.0,108.0,873
48113,CA,5.2,75000,1680.0,159.0,126.0,586
48114,PA,4.6,61000,1380.0,99.0,89.0,338
48115,IL,5.3,65000,1600.0,98.0,93.0,118
48116,NY,5.5,72000,1880.0,138.0,106.0,920
48117,WA,4.8,78000,1770.0,157.0,129.0,940
48118,TN,3.8,53000,1490.0,104.0,84.0,119
48119,WA,4.4,78000,1770.0,155.0,129.0,162
48120,CA,5.7,75000,1760.0,166.0,134.0,463
48121,MA,4.3,81000,1890.0,142.0,119.0,284
48122,NJ,4.9,82000,2030.0,135.0,109.0,920
48123,PA,4.1,61000,1340.0,104.0,101.0,449
48124,NJ,5.4,82000,1660.0,141.0,119.0,436
48125,CA,5.9,75000,1770.0,168.0,127.0,714
48126,CA,5.7,75000,1920.0,164.0,124.0,738
48127,WI,4.0,60000,1460.0,104.0,94.0,814
48128,NJ,5.0,82000,1850.0,133.0,116.0,620
48129,NY,5.1,72000,1580.0,144.0,110.0,657
48130,MI,5.4,57000,1370.0,102.0,79.0,206
48131,MD,4.3,84000,1910.0,134.0,116.0,990
48132,NJ,5.3,82000,2120.0,133.0,119.0,428
48133,WA,4.8,78000,2000.0,152.0,115.0,244
48134,TN,4.5,53000,1260.0,99.0,94.0,552
48135,IL,6.0,65000,1620.0,100.0,93.0,445
48136,MI,5.3,57000,1440.0,96.0,78.0,416
48137,NC,4.2,54000,1350.0,110.0,79.0,948
48138,MD,4.6,84000,1990.0,138.0,114.0,930
48139,AZ,4.4,58000,1460.0,109.0,91.0,406
48140,MO,3.7,55000,1360.0,91.0,78.0,943
48141,FL,5.2,55000,1160.0,111.0,90.0,533
48142,CA,5.7,75000,1750.0,168.0,132.0,475
48143,NY,5.1,72000,1870.0,140.0,116.0,724
48144,WI,4.7,60000,1160.0,101.0,88.0,840
48145,MI,6.1,57000,1420.0,100.0,81.0,793
48146,NJ,4.8,82000,2020.0,134.0,114.0,940
48147,MI,5.7,57000,1220.0,93.0,78.0,604
48148,IL,5.6,65000,1650.0,92.0,86.0,175
48149,GA,3.8,58000,1430.0,110.0,88.0,475
48150,CA,5.4,75000,1910.0,162.0,132.0,559
48151,NY,5.6,72000,1790.0,143.0,117.0,746
48152,CA,4.7,75000,1890.0,161.0,127.0,980
48153,FL,5.1,55000,1180.0,112.0,90.0,299
48154,NC,4.6,54000,1280.0,111.0,87.0,812
48155,GA,4.1,58000,1540.0,103.0,84.0,705
48156,OH,4.3,56000,1460.0,93.0,73.0,772
48157,FL,5.0,55000,1210.0,126.0,95.0,684
48158,TX,4.8,61000,1450.0,98.0,88.0,648
48159,CA,5.5,75000,1530.0,163.0,123.0,699
48160,IL,5.8,65000,1450.0,98.0,85.0,769
48161,NJ,5.1,82000,1980.0,140.0,114.0,842
48162,WA,5.1,78000,1880.0,161.0,127.0,539
48163,NC,4.2,54000,1410.0,110.0,86.0,829
48164,FL,4.9,55000,1300.0,108.0,85.0,871
48165,TN,4.2,53000,1270.0,103.0,78.0,794
48166,NY,5.2,72000,1680.0,140.0,113.0,768
48167,TX,4.1,61000,1320.0,105.0,87.0,684
48168,IL,5.4,65000,1500.0,104.0,78.0,816
48169,NY,4.6,72000,1510.0,140.0,109.0,773
48170,IL,5.4,65000,1750.0,98.0,79.0,153
48171,TX,3.9,61000,1450.0,99.0,89.0,599
48172,CA,5.8,75000,1870.0,166.0,126.0,554
48173,CA,5.4,75000,1770.0,165.0,131.0,774
48174,AZ,4.8,58000,1390.0,111.0,94.0,751
48175,MA,4.1,81000,2190.0,145.0,131.0,948
48176,IL,5.7,65000,1610.0,102.0,86.0,637
48177,FL,5.1,55000,1210.0,129.0,101.0,498
48178,IL,5.4,65000,1370.0,101.0,86.0,346
48179,TX,4.0,61000,1460.0,105.0,90.0,586
48180,NY,4.8,72000,1650.0,144.0,109.0,245
48181,FL,4.9,55000,1450.0,117.0,88.0,559
48182,IL,4.8,65000,1520.0,94.0,89.0,534
48183,NC,4.0,54000,1170.0,105.0,80.0,174
48184,NC,4.1,54000,1350.0,98.0,82.0,891
48185,TX,4.5,61000,1450.0,108.0,87.0,116
48186,TX,3.8,61000,1570.0,104.0,83.0,250
48187,WI,4.2,60000,1590.0,105.0,94.0,637
48188,TX,3.5,61000,1530.0,100.0,90.0,301
48189,WA,5.0,78000,1900.0,148.0,120.0,626
48190,NY,5.1,72000,1760.0,150.0,116.0,399
48191,MO,3.8,55000,1400.0,95.0,86.0,640
48192,CA,5.6,75000,1700.0,159.0,131.0,233
48193,NJ,5.1,82000,1900.0,132.0,109.0,114
48194,CA,5.5,75000,1800.0,158.0,129.0,627
48195,FL,4.5,55000,1470.0,118.0,98.0,194
48196,CA,5.6,75000,1830.0,157.0,130.0,350
48197,NY,5.2,72000,1890.0,139.0,113.0,224
48198,WA,4.7,78000,1780.0,153.0,116.0,174
48199,PA,4.2,61000,1590.0,93.0,82.0,615
48200,CA,5.6,75000,2000.0,167.0,135.0,299
48201,CA,5.7,75000,1790.0,157.0,124.0,186
48202,GA,3.3,58000,1180.0,111.0,92.0,733
48203,CA,5.6,75000,1630.0,147.0,118.0,688
48204,MA,4.4,81000,1970.0,155.0,124.0,113
48205,MD,4.5,84000,2130.0,128.0,116.0,277
48206,TX,4.1,61000,1330.0,98.0,84.0,734
48207,MO,3.8,55000,1360.0,103.0,79.0,997
48208,MI,5.4,57000,1420.0,86.0,66.0,154
48209,NY,4.6,72000,1540.0,140.0,107.0,245
48210,NC,4.0,54000,1390.0,101.0,88.0,433
48211,CA,5.1,75000,1740.0,158.0,116.0,838
48212,CA,6.0,75000,2020.0,155.0,127.0,875
48213,NY,4.7,72000,1880.0,147.0,115.0,871
48214,MA,4.2,81000,1710.0,150.0,121.0,296
48215,NY,4.9,72000,1800.0,144.0,114.0,519
48216,NJ,5.3,82000,1960.0,128.0,106.0,345
48217,NC,4.6,54000,1460.0,103.0,72.0,322
48218,CA,5.3,75000,1990.0,161.0,126.0,976
48219,IL,5.1,65000,1720.0,103.0,85.0,653
48220,TX,4.1,61000,1600.0,106.0,91.0,495
48221,MI,5.2,57000,1330.0,91.0,78.0,889
48222,FL,4.6,55000,1200.0,124.0,98.0,951
48223,PA,4.4,61000,1700.0,100.0,80.0,645
48224,CA,5.3,75000,1830.0,158.0,128.0,936
48225,MI,5.6,57000,1400.0,98.0,88.0,871
48226,AZ,5.0,58000,1560.0,121.0,91.0,496
48227,CA,5.2,75000,1760.0,165.0,134.0,129
48228,NC,4.4,54000,1190.0,100.0,86.0,878
48229,FL,4.7,55000,1300.0,109.0,89.0,117
48230,NY,5.0,72000,1720.0,137.0,119.0,827
48231,CA,5.7,75000,1500.0,160.0,131.0,834
48232,FL,4.8,55000,1310.0,118.0,95.0,833
48233,WA,4.7,78000,1970.0,156.0,123.0,912
48234,FL,5.1,55000,1460.0,114.0,96.0,422
48235,NC,3.8,54000,1340.0,108.0,87.0,524
48236,NC,3.8,54000,1290.0,112.0,92.0,165
48237,GA,4.1,58000,1370.0,109.0,89.0,252
48238,CA,5.5,75000,1810.0,152.0,118.0,813
48239,TX,4.3,61000,1500.0,107.0,89.0,522
48240,CA,5.5,75000,1610.0,166.0,129.0,612
48241,AZ,4.7,58000,1380.0,121.0,96.0,902
48242,MA,4.1,81000,2040.0,148.0,125.0,985
48243,MO,4.6,55000,1640.0,103.0,83.0,967
48244,MO,4.7,55000,1460.0,92.0,88.0,577
48245,CA,5.2,75000,1760.0,162.0,121.0,952
48246,TX,4.3,61000,1510.0,103.0,87.0,530
48247,MI,5.8,57000,1470.0,89.0,76.0,821
48248,FL,4.6,55000,1120.0,114.0,97.0,889
48249,WA,5.2,78000,2050.0,157.0,125.0,855
48250,MA,4.4,81000,2040.0,146.0,121.0,584
48251,TX,3.9,61000,1470.0,114.0,98.0,891
48252,IL,5.3,65000,1470.0,99.0,91.0,347
48253,CA,5.7,75000,1730.0,162.0,131.0,190
48254,NC,4.5,54000,1400.0,115.0,89.0,143
48255,CA,5.4,75000,2140.0,165.0,136.0,176
48256,PA,4.5,61000,1500.0,86.0,73.0,858
48257,NC,4.6,54000,1280.0,116.0,86.0,973
48258,FL,5.0,55000,1430.0,120.0,90.0,679
48259,CA,5.8,75000,2170.0,160.0,140.0,356
48260,TN,3.9,53000,1160.0,103.0,82.0,316
48261,PA,4.5,61000,1400.0,94.0,85.0,176
48262,CA,5.2,75000,1660.0,171.0,129.0,870
48263,CA,5.1,75000,1560.0,162.0,128.0,248
48264,CA,5.7,75000,1980.0,150.0,122.0,498
48265,MD,4.4,84000,1950.0,135.0,111.0,104
48266,IL,4.9,65000,1470.0,102.0,94.0,649
48267,IL,5.5,65000,1430.0,103.0,85.0,177
48268,AZ,4.5,58000,1440.0,115.0,90.0,235
48269,CA,5.5,75000,1640.0,165.0,130.0,234
48270,TX,4.1,61000,1230.0,98.0,82.0,848
48271,MA,4.0,81000,1890.0,140.0,119.0,567
48272,IL,5.2,65000,1580.0,97.0,85.0,913
48273,CA,5.2,75000,1550.0,159.0,116.0,427
48274,CA,5.7,75000,2000.0,161.0,136.0,628
48275,GA,3.9,58000,1380.0,104.0,90.0,336
48276,CA,5.2,75000,1720.0,155.0,122.0,178
48277,MI,5.6,57000,1370.0,96.0,77.0,368
48278,MA,3.9,81000,1730.0,135.0,112.0,363
48279,PA,4.7,61000,1530.0,93.0,87.0,436
48280,IN,4.2,55000,1440.0,91.0,73.0,915
48281,TX,4.6,61000,1250.0,106.0,89.0,790
48282,IL,5.4,65000,1690.0,93.0,88.0,594
48283,FL,4.7,55000,1390.0,116.0,89.0,515
48284,CA,5.4,75000,1860.0,169.0,119.0,956
48285,AZ,4.3,58000,1180.0,125.0,103.0,178
48286,TX,4.1,61000,1420.0,98.0,82.0,406
48287,IL,5.4,65000,1490.0,97.0,88.0,493
48288,OH,4.9,56000,1490.0,97.0,71.0,358
48289,GA,4.4,58000,1290.0,95.0,79.0,738
48290,FL,4.2,55000,1200.0,108.0,90.0,265
48291,NY,5.1,72000,1610.0,141.0,114.0,256
48292,TX,4.4,61000,1360.0,99.0,81.0,479
48293,TX,4.4,61000,1550.0,106.0,96.0,658
48294,GA,4.2,58000,1260.0,107.0,87.0,843
48295,IL,5.4,65000,1800.0,104.0,93.0,183
48296,NY,4.9,72000,1700.0,140.0,113.0,568
48297,MD,4.4,84000,2130.0,124.0,110.0,628
48298,PA,4.7,61000,1380.0,105.0,87.0,194
48299,MA,4.2,81000,2130.0,139.0,112.0,427
48300,IN,3.8,55000,1340.0,92.0,79.0,927
48301,CA,5.4,75000,1840.0,161.0,127.0,132
48302,TX,4.1,61000,1450.0,100.0,92.0,651
48303,TN,4.0,53000,1270.0,104.0,81.0,471
48304,NY,4.9,72000,1900.0,140.0,110.0,859
48305,WI,4.2,60000,1300.0,103.0,84.0,920
48306,FL,4.6,55000,1270.0,104.0,85.0,525
48307,CA,5.8,75000,1850.0,164.0,124.0,326
48308,FL,4.3,55000,1300.0,103.0,87.0,823
48309,VA,3.7,74000,1650.0,120.0,115.0,277
48310,NY,5.0,72000,1920.0,140.0,110.0,192
48311,PA,4.8,61000,1470.0,97.0,79.0,715
48312,NY,5.1,72000,1880.0,139.0,108.0,793
48313,GA,4.1,58000,1510.0,100.0,83.0,462
48314,NC,4.7,54000,1240.0,104.0,86.0,587
48315,CA,6.2,75000,1820.0,169.0,139.0,141
48316,MI,6.0,57000,1240.0,93.0,82.0,249
48317,NJ,4.0,82000,2000.0,135.0,111.0,882
48318,MA,4.3,81000,1860.0,144.0,125.0,832
48319,MD,4.4,84000,1950.0,128.0,111.0,548
48320,OH,4.6,56000,1440.0,104.0,87.0,994
48321,NC,4.5,54000,1190.0,117.0,94.0,420
48322,CA,5.3,75000,1840.0,163.0,130.0,252
48323,MI,5.3,57000,1520.0,92.0,80.0,740
48324,CA,5.5,75000,2050.0,154.0,116.0,784
48325,NC,4.4,54000,1160.0,107.0,93.0,323
48326,WA,5.2,78000,1940.0,160.0,122.0,842
48327,TN,4.1,53000,1220.0,105.0,75.0,322
48328,TX,4.2,61000,1290.0,106.0,86.0,847
48329,PA,4.9,61000,1470.0,98.0,87.0,662
48330,MD,4.7,84000,1920.0,131.0,107.0,484
48331,CA,6.1,75000,1910.0,151.0,120.0,376
48332,PA,4.6,61000,1380.0,94.0,76.0,554
48333,IL,5.2,65000,1350.0,105.0,93.0,487
48334,MO,4.0,55000,1400.0,97.0,70.0,789
48335,MO,4.5,55000,1280.0,94.0,82.0,169
48336,PA,5.0,61000,1460.0,100.0,82.0,620
48337,MO,4.4,55000,1400.0,97.0,84.0,711
48338,WA,5.1,78000,1820.0,161.0,130.0,409
48339,MA,4.1,81000,1970.0,142.0,110.0,846
48340,MA,4.5,81000,1550.0,146.0,120.0,836
48341,OH,4.7,56000,1450.0,93.0,75.0,738
48342,NY,5.4,72000,1810.0,135.0,108.0,922
48343,NJ,4.7,82000,2070.0,135.0,118.0,512
48344,CA,5.5,75000,1510.0,163.0,126.0,351
48345,CA,5.3,75000,1770.0,163.0,130.0,507
48346,WA,5.3,78000,1760.0,153.0,124.0,794
48347,TX,3.8,61000,1200.0,96.0,85.0,587
48348,VA,4.0,74000,1700.0,122.0,98.0,228
48349,CA,5.8,75000,1810.0,164.0,128.0,278
48350,PA,4.5,61000,1450.0,99.0,82.0,158
48351,MO,3.8,55000,1350.0,87.0,73.0,268
48352,MD,4.5,84000,1870.0,130.0,112.0,201
48353,NJ,5.5,82000,1660.0,136.0,117.0,162
48354,VA,3.4,74000,1610.0,123.0,103.0,444
48355,WI,4.2,60000,1290.0,98.0,76.0,796
48356,MI,5.1,57000,1390.0,88.0,73.0,196
48357,IL,5.0,65000,1640.0,101.0,81.0,714
48358,NC,4.5,54000,1350.0,110.0,90.0,456
48359,TX,4.2,61000,1450.0,103.0,76.0,272
48360,NJ,4.7,82000,1950.0,126.0,105.0,296
48361,WI,4.5,60000,1300.0,105.0,87.0,203
48362,NY,4.7,72000,1820.0,143.0,115.0,640
48363,TX,3.8,61000,1610.0,111.0,93.0,753
48364,NY,5.0,72000,1660.0,135.0,108.0,558
48365,CA,5.7,75000,1750.0,164.0,125.0,787
48366,MO,4.3,55000,1520.0,93.0,68.0,905
48367,CA,5.3,75000,1690.0,166.0,133.0,750
48368,WA,4.6,78000,1960.0,166.0,121.0,328
48369,IN,4.3,55000,1410.0,90.0,68.0,483
48370,TX,4.2,61000,1680.0,110.0,103.0,641
48371,PA,4.7,61000,1330.0,105.0,75.0,734
48372,OH,5.2,56000,1190.0,87.0,74.0,570
48373,MI,5.4,57000,1540.0,90.0,75.0,640
48374,TX,4.4,61000,1740.0,98.0,83.0,894
48375,TN,3.7,53000,1150.0,103.0,81.0,302
48376,MA,4.5,81000,2070.0,152.0,122.0,484
48377,TX,4.3,61000,1270.0,103.0,87.0,542
48378,MA,4.5,81000,2130.0,152.0,127.0,582
48379,OH,4.5,56000,1340.0,85.0,71.0,320
48380,WI,4.1,60000,1340.0,95.0,83.0,677
48381,CA,5.8,75000,1870.0,154.0,117.0,888
48382,VA,4.0,74000,1830.0,127.0,111.0,327
48383,IL,4.7,65000,1770.0,97.0,84.0,427
48384,FL,4.7,55000,1400.0,118.0,86.0,807
48385,VA,3.9,74000,1670.0,129.0,117.0,939
48386,CA,5.5,75000,1750.0,164.0,124.0,727
48387,CA,5.6,75000,1700.0,165.0,127.0,719
48388,TX,4.8,61000,1310.0,98.0,88.0,327
48389,FL,4.9,55000,1400.0,112.0,96.0,430
48390,PA,4.8,61000,1350.0,91.0,76.0,829
48391,FL,4.4,55000,1360.0,121.0,93.0,615
48392,NY,5.0,72000,1670.0,135.0,110.0,511
48393,CA,5.2,75000,2080.0,154.0,106.0,543
48394,PA,4.7,61000,1600.0,91.0,88.0,317
48395,MI,5.6,57000,1590.0,97.0,81.0,807
48396,TX,3.7,61000,1400.0,104.0,84.0,400
48397,FL,4.4,55000,1340.0,119.0,94.0,630
48398,TX,4.2,61000,1860.0,107.0,99.0,334
48399,GA,4.3,58000,1320.0,109.0,87.0,394
48400,NC,3.8,54000,1320.0,102.0,81.0,749
48401,WA,5.1,78000,1750.0,157.0,119.0,924
48402,TX,4.0,61000,1520.0,108.0,93.0,121
48403,PA,4.6,61000,1500.0,102.0,83.0,581
48404,TX,4.2,61000,1440.0,97.0,85.0,412
48405,TN,4.2,53000,1300.0,110.0,88.0,782
48406,TX,3.8,61000,1390.0,99.0,78.0,582
48407,CA,5.4,75000,1720.0,156.0,130.0,805
48408,GA,4.1,58000,1530.0,102.0,88.0,476
48409,FL,4.4,55000,1170.0,120.0,96.0,521
48410,TX,4.0,61000,1550.0,104.0,88.0,901
48411,PA,4.6,61000,1470.0,92.0,79.0,531
48412,CA,5.1,75000,1680.0,162.0,133.0,824
48413,TX,5.3,61000,1420.0,110.0,98.0,798
48414,TN,4.3,53000,1300.0,107.0,83.0,426
48415,NY,4.6,72000,1890.0,137.0,108.0,666
48416,CA,6.2,75000,1650.0,165.0,131.0,289
48417,WI,3.8,60000,1440.0,102.0,78.0,280
48418,NC,4.4,54000,1410.0,102.0,78.0,609
48419,MA,4.0,81000,2370.0,134.0,115.0,285
48420,NY,5.2,72000,1540.0,141.0,125.0,378
48421,NY,5.2,72000,1730.0,148.0,119.0,722
48422,NC,4.3,54000,1310.0,107.0,90.0,815
48423,IN,4.4,55000,1220.0,97.0,84.0,160
48424,TX,4.2,61000,1690.0,102.0,83.0,363
48425,IN,4.3,55000,1350.0,96.0,87.0,955
48426,GA,3.6,58000,1280.0,110.0,96.0,576
48427,IN,4.3,55000,1320.0,96.0,79.0,775
48428,TN,3.8,53000,1350.0,111.0,95.0,593
48429,GA,3.9,58000,1280.0,99.0,79.0,769
48430,TX,4.7,61000,1260.0,109.0,85.0,564
48431,TX,3.4,61000,1390.0,114.0,98.0,110
48432,NJ,4.7,82000,2130.0,143.0,118.0,287
48433,CA,5.0,75000,1790.0,152.0,122.0,333
48434,CA,5.7,75000,1760.0,162.0,127.0,810
48435,CA,5.8,75000,2010.0,160.0,133.0,255
48436,NY,4.9,72000,1610.0,140.0,122.0,492
48437,NC,3.6,54000,1330.0,117.0,95.0,762
48438,MI,5.3,57000,1280.0,102.0,85.0,105
48439,MI,5.1,57000,1210.0,97.0,90.0,590
48440,CA,5.7,75000,1660.0,161.0,130.0,916
48441,TX,4.2,61000,1470.0,94.0,85.0,659
48442,CA,5.3,75000,2070.0,163.0,131.0,547
48443,MI,5.5,57000,1300.0,88.0,85.0,456
48444,CA,5.8,75000,1680.0,165.0,122.0,441
48445,NY,5.6,72000,1930.0,145.0,119.0,784
48446,WA,4.9,78000,2320.0,154.0,120.0,559
48447,VA,3.5,74000,1760.0,132.0,109.0,506
48448,CA,5.7,75000,1750.0,159.0,131.0,505
48449,NY,4.8,72000,1790.0,142.0,112.0,441
48450,OH,4.4,56000,1500.0,94.0,86.0,533
48451,CA,5.6,75000,1780.0,167.0,129.0,637
48452,MI,5.7,57000,1170.0,94.0,82.0,741
48453,TN,3.8,53000,1340.0,98.0,71.0,538
48454,AZ,4.5,58000,1390.0,109.0,84.0,224
48455,IL,5.3,65000,1430.0,109.0,95.0,469
48456,TX,4.2,61000,1280.0,101.0,80.0,152
48457,NY,5.0,72000,1720.0,139.0,109.0,156
48458,IL,5.5,65000,1380.0,111.0,95.0,948
48459,NC,4.4,54000,1350.0,118.0,87.0,681
48460,TX,4.0,61000,1470.0,100.0,82.0,517
48461,NY,4.9,72000,1980.0,137.0,120.0,596
48462,MO,4.2,55000,1190.0,88.0,63.0,358
48463,IN,4.0,55000,1170.0,106.0,89.0,864
48464,FL,4.9,55000,1360.0,115.0,93.0,608
48465,AZ,4.5,58000,1310.0,116.0,93.0,605
48466,CA,5.3,75000,1970.0,160.0,119.0,530
48467,NY,5.0,72000,1700.0,139.0,115.0,535
48468,PA,4.7,61000,1490.0,98.0,84.0,567
48469,NC,4.1,54000,1210.0,104.0,89.0,519
48470,MO,4.3,55000,1390.0,95.0,76.0,384
48471,TX,3.8,61000,1450.0,114.0,85.0,193
48472,MI,5.8,57000,1280.0,94.0,83.0,370
48473,NY,5.2,72000,1580.0,139.0,116.0,582
48474,NY,4.9,72000,1850.0,136.0,107.0,619
48475,FL,5.0,55000,1350.0,119.0,90.0,991
48476,NC,4.5,54000,1340.0,103.0,82.0,660
48477,PA,4.1,61000,1400.0,95.0,87.0,684
48478,PA,4.5,61000,1600.0,97.0,83.0,499
48479,NY,5.3,72000,1840.0,144.0,119.0,802
48480,MA,4.0,81000,1930.0,148.0,116.0,821
48481,FL,5.1,55000,1190.0,109.0,86.0,784
48482,IL,5.3,65000,1480.0,93.0,72.0,530
48483,AZ,4.2,58000,1410.0,119.0,94.0,782
48484,CA,5.6,75000,1670.0,168.0,127.0,187
48485,WA,4.9,78000,1970.0,158.0,124.0,403
48486,NY,4.9,72000,1960.0,129.0,112.0,486
48487,MA,4.5,81000,2110.0,144.0,124.0,310
48488,PA,4.1,61000,1250.0,97.0,76.0,833
48489,CA,5.9,75000,2070.0,157.0,126.0,831
48490,VA,3.4,74000,1860.0,122.0,99.0,720
48491,CA,5.0,75000,1650.0,166.0,124.0,658
48492,NC,4.4,54000,1320.0,98.0,81.0,907
48493,WA,4.7,78000,1890.0,156.0,120.0,819
48494,CA,5.1,75000,1760.0,160.0,127.0,755
48495,TX,3.3,61000,1350.0,118.0,95.0,657
48496,TN,4.2,53000,1390.0,100.0,73.0,711
48497,FL,4.4,55000,1760.0,112.0,87.0,230
48498,OH,5.2,56000,1400.0,85.0,77.0,909
48499,CA,5.2,75000,1740.0,160.0,136.0,809
48500,IL,5.0,65000,1530.0,104.0,86.0,920
48501,CA,5.4,75000,1680.0,162.0,130.0,763
48502,PA,4.8,61000,1530.0,99.0,83.0,640
48503,TN,4.5,53000,1270.0,106.0,76.0,827
48504,CA,5.6,75000,1810.0,161.0,117.0,487
48505,WI,4.1,60000,1580.0,86.0,77.0,199
48506,WA,5.2,78000,1830.0,155.0,124.0,905
48507,CA,5.6,75000,1850.0,167.0,137.0,852
48508,CA,5.7,75000,1930.0,156.0,130.0,941
48509,CA,5.5,75000,2050.0,162.0,123.0,835
48510,FL,5.3,55000,1420.0,125.0,107.0,447
48511,FL,4.8,55000,1520.0,115.0,91.0,583
48512,MO,4.1,55000,1240.0,98.0,83.0,637
48513,NY,5.2,72000,1540.0,140.0,118.0,953
48514,FL,5.4,55000,1710.0,107.0,83.0,891
48515,MI,5.3,57000,1290.0,91.0,75.0,200
48516,FL,4.6,55000,1400.0,112.0,95.0,418
48517,NJ,4.6,82000,2170.0,135.0,114.0,691
48518,TX,4.2,61000,1400.0,109.0,90.0,611
48519,GA,4.2,58000,1650.0,95.0,70.0,532
48520,CA,5.0,75000,1750.0,153.0,123.0,575
48521,MO,3.9,55000,1410.0,95.0,75.0,733
48522,MI,5.2,57000,1480.0,93.0,84.0,624
48523,IL,4.8,65000,1460.0,101.0,87.0,189
48524,TN,4.1,53000,1460.0,110.0,88.0,338
48525,OH,4.7,56000,1210.0,94.0,80.0,294
48526,TX,3.9,61000,1710.0,111.0,96.0,637
48527,MA,4.3,81000,1940.0,147.0,122.0,789
48528,VA,4.3,74000,1520.0,119.0,98.0,987
48529,TX,4.5,61000,1320.0,105.0,92.0,765
48530,TX,4.8,61000,1410.0,116.0,94.0,315
48531,TX,4.2,61000,1600.0,111.0,90.0,737
48532,CA,5.8,75000,2140.0,159.0,132.0,409
48533,FL,5.1,55000,1240.0,119.0,97.0,970
48534,NY,4.7,72000,1760.0,138.0,108.0,984
48535,GA,3.7,58000,1330.0,106.0,87.0,184
48536,TX,3.8,61000,1540.0,107.0,83.0,296
48537,CA,5.4,75000,1700.0,165.0,129.0,119
48538,GA,4.1,58000,1640.0,107.0,85.0,488
48539,FL,5.1,55000,1250.0,112.0,89.0,576
48540,CA,5.3,75000,1670.0,158.0,116.0,936
48541,MO,3.8,55000,1500.0,92.0,79.0,467
48542,CA,5.4,75000,2020.0,165.0,128.0,489
48543,TX,4.2,61000,1250.0,98.0,80.0,916
48544,GA,4.1,58000,1450.0,110.0,95.0,369
48545,CA,5.1,75000,1600.0,162.0,133.0,822
48546,MO,4.0,55000,1290.0,101.0,81.0,668
48547,OH,4.9,56000,1380.0,83.0,71.0,245
48548,MI,5.4,57000,1270.0,100.0,77.0,634
48549,CA,5.7,75000,1830.0,170.0,132.0,110
48550,NC,4.0,54000,1460.0,113.0,92.0,645
48551,NJ,5.4,82000,2150.0,139.0,120.0,952
48552,TX,4.2,61000,1490.0,109.0,94.0,240
48553,MD,4.8,84000,1840.0,122.0,108.0,485
48554,NY,5.2,72000,1580.0,141.0,119.0,375
48555,FL,4.7,55000,1240.0,117.0,90.0,691
48556,OH,4.9,56000,1240.0,96.0,77.0,686
48557,TX,4.7,61000,1590.0,105.0,98.0,910
48558,CA,5.5,75000,2150.0,167.0,138.0,240
48559,FL,4.7,55000,1220.0,116.0,95.0,610
48560,NY,4.6,72000,1560.0,140.0,112.0,437
48561,CA,5.9,75000,1550.0,158.0,128.0,405
48562,FL,5.4,55000,1480.0,114.0,95.0,330
48563,CA,5.7,75000,1720.0,165.0,132.0,803
48564,VA,4.3,74000,1910.0,124.0,102.0,232
48565,AZ,4.5,58000,1620.0,122.0,102.0,861
48566,GA,4.2,58000,1250.0,104.0,83.0,535
48567,TX,4.3,61000,1600.0,109.0,85.0,109
48568,FL,4.2,55000,1350.0,116.0,96.0,424
48569,MO,4.0,55000,1130.0,94.0,76.0,544
48570,FL,5.1,55000,1210.0,114.0,93.0,460
48571,NY,5.2,72000,1720.0,141.0,114.0,319
48572,CA,5.9,75000,1770.0,161.0,128.0,365
48573,NC,4.2,54000,1190.0,103.0,86.0,840
48574,CA,5.4,75000,1540.0,158.0,132.0,258
